"Designator","Mid X","Mid Y","Layer","Rotation"
"R13","173.0725mm","-94.19mm","top","90.0"
"D1","136.1075mm","-97.550042mm","top","-90.0"
"C59","166.525mm","-118.775mm","top","-90.0"
"C24","175.1mm","-98.3mm","top","180.0"
"P2","192.267846mm","-68.304999mm","top","0.0"
"R57","168.8425mm","-80.193621mm","top","90.0"
"C7","132.8mm","-100.1mm","top","180.0"
"Q8","158.32mm","-91.95mm","top","0.0"
"C82","147.625001mm","-144.375001mm","top","180.0"
"C69","181.35mm","-77.3mm","top","90.0"
"C1","182.475mm","-116.85mm","top","0.0"
"U14","153.418626mm","-138.599997mm","top","0.0"
"C28","191.649999mm","-88.869999mm","top","-90.0"
"C49","164.175mm","-113.375mm","top","0.0"
"C75","161mm","-136.15mm","top","-90.0"
"R45","148mm","-80.193621mm","top","90.0"
"C48","151.175mm","-114.7mm","top","90.0"
"R23","125.9375mm","-105.42mm","top","-90.0"
"R48","164.4625mm","-77.3mm","top","-90.0"
"P7","197.149999mm","-126.199999mm","top","0.0"
"C3","131.3mm","-115.7mm","top","180.0"
"C71","180.1mm","-73.5mm","top","0.0"
"P11","192.267847mm","-105.3mm","top","0.0"
"R65","166.7mm","-144.2mm","top","0.0"
"C21","195.474999mm","-120.499999mm","top","0.0"
"J2","186.85mm","-114.7mm","top","-90.0"
"R44","163.475mm","-115.575mm","top","-90.0"
"R11","152.2725mm","-94.19mm","top","90.0"
"C38","126mm","-62.925mm","top","90.0"
"C46","160.475mm","-118.775mm","top","90.0"
"D16","166.7mm","-142.95mm","top","180.0"
"U7","181.8625mm","-97.35mm","top","180.0"
"C23","174.3mm","-100.1mm","top","180.0"
"U5","194.389997mm","-116.395003mm","top","270.0"
"C9","133.6mm","-98.3mm","top","180.0"
"J1","126.2mm","-110.75mm","top","0.0"
"C76","161.625001mm","-141.170229mm","top","0.0"
"R52","183.7625mm","-92.45mm","top","90.0"
"R19","192.939998mm","-81.319999mm","top","0.0"
"C64","177.35mm","-67.125mm","top","-90.0"
"R27","158.825mm","-118.45mm","top","-90.0"
"U6","161.02mm","-97.35mm","top","180.0"
"C74","146.9mm","-132.275001mm","top","180.0"
