"Designator","Mid X","Mid Y","Layer","Rotation"
"R18","174.01mm","-94.17mm","top","90.0"
"C71","140.123571mm","-139.48mm","top","90.0"
"D2","136.1075mm","-97.550042mm","top","-90.0"
"C53","158.475mm","-120.625mm","top","-90.0"
"C25","175.1mm","-98.3mm","top","180.0"
"P6","192.61mm","-66.52mm","top","0.0"
"R80","168.658164mm","-80.193621mm","top","-90.0"
"C9","132.8mm","-100.1mm","top","180.0"
"R71","159.26mm","-117.37mm","top","-90.0"
"R89","134.2775mm","-137.82mm","top","180.0"
"C68","156.173571mm","-144.12mm","top","0.0"
"C60","181.35mm","-77.3mm","top","90.0"
"C46","153.39mm","-73.34mm","top","90.0"
"C1","176.742427mm","-121.629997mm","top","90.0"
"U3","169.973571mm","-143.58mm","top","180.0"
"C29","192.099999mm","-74.9625mm","top","0.0"
"R62","147.9mm","-80.193621mm","top","-90.0"
"C22","158.48mm","-123.72mm","top","90.0"
"C45","140.87mm","-124.12mm","top","180.0"
"R28","128.5mm","-91.57mm","top","0.0"
"R65","164.4625mm","-77.3mm","top","-90.0"
"P8","192.61mm","-128.52mm","top","0.0"
"R69","171.79mm","-77.24mm","top","-90.0"
"SW1","176.61mm","-115.95mm","top","90.0"
"R9","196.520001mm","-102.07mm","top","90.0"
"R51","150.93mm","-77.275mm","top","-90.0"
"J1","187.35mm","-125.64mm","top","-90.0"
"C69","138.973571mm","-145.98mm","top","-90.0"
"R55","155.61mm","-117.37mm","top","-90.0"
"R16","152.26mm","-94.42mm","top","90.0"
"C57","180.56mm","-73.36mm","top","90.0"
"C70","156.173571mm","-146.82mm","top","0.0"
"C37","135.81mm","-73.345mm","top","90.0"
"C43","152.425mm","-120.625mm","top","-90.0"
"R13","191.24mm","-99.32mm","top","90.0"
"U7","181.8625mm","-97.35mm","top","180.0"
"R8","197.820001mm","-94.82mm","top","180.0"
"C24","174.3mm","-100.1mm","top","180.0"
"J2","187.36mm","-111.4mm","top","-90.0"
"U5","195.730001mm","-116.749999mm","top","270.0"
"C11","133.6mm","-98.3mm","top","180.0"
"P2","125.81mm","-99.52mm","top","-90.0"
"P5","187.81mm","-99.52mm","top","-90.0"
"P7","125.81mm","-94.44mm","top","-90.0"
"J5","133.86mm","-127.32mm","top","180.0"
"R24","194.599999mm","-74.9625mm","top","0.0"
"R3","180.759998mm","-116.465002mm","top","-90.0"
"R30","150.775mm","-120.3mm","top","-90.0"
"U6","161.02mm","-97.35mm","top","180.0"
"R36","133.15mm","-77.3mm","top","90.0"
"C49","162.99mm","-73.34mm","top","90.0"
"R78","185.8mm","-91.5mm","top","180.0"
"J6","128.067165mm","-140.859999mm","top","-90.0"
"R43","142.5mm","-77.3mm","top","-90.0"
"R20","191.589998mm","-71.2375mm","top","90.0"
"Q1","197.570001mm","-100.27mm","top","90.0"
"R29","150.775mm","-123.3mm","top","-90.0"
"C3","178.6mm","-120.899999mm","top","180.0"
"C73","140.123571mm","-142.78mm","top","90.0"
"C13","172.887142mm","-138.92mm","top","180.0"
"C16","174.923571mm","-145.58mm","top","90.0"
"U10","154.625mm","-120.925mm","top","90.0"
"C31","197.845001mm","-93.32mm","top","0.0"
"C39","139.01mm","-73.345mm","top","90.0"
"C66","156.21mm","-142.07mm","top","90.0"
"R92","154.41mm","-117.37mm","top","90.0"
"R79","185.15mm","-93.75mm","top","90.0"
"J3","144.16mm","-111.995mm","top","0.0"
"R57","156.55mm","-77.3mm","top","90.0"
"C72","142.473571mm","-146.68mm","top","180.0"
"C32","197.245001mm","-91.62mm","top","0.0"
"R15","130.23mm","-94.22mm","top","90.0"
"C47","156.59mm","-73.34mm","top","90.0"
"R37","135.85mm","-77.3mm","top","90.0"
"Y1","137.41mm","-141.02mm","top","-90.0"
"C5","160.31mm","-144.34mm","top","90.0"
"U2","159.5575mm","-141.11mm","top","0.0"
"U11","160.675mm","-120.925mm","top","90.0"
"R85","138.06mm","-124.12mm","top","0.0"
"D3","191.570001mm","-125.47mm","top","-90.0"
"C15","174.923571mm","-141.53mm","top","-90.0"
"R84","178.72mm","-77.3mm","top","-90.0"
"C50","161.8mm","-77.3mm","top","90.0"
"C67","153.873569mm","-135.62mm","top","90.0"
"D6","194.999999mm","-71.6375mm","top","0.0"
"P3","197.69mm","-66.52mm","top","0.0"
"P1","195.15mm","-66.52mm","top","0.0"
"R64","159.2mm","-77.3mm","top","-90.0"
"R32","142.15mm","-92.25mm","top","-90.0"
"R21","194.574999mm","-73.5375mm","top","0.0"
"C14","133.6825mm","-94.15mm","top","90.0"
"C61","164.66mm","-124.92mm","top","90.0"
"R96","158.9mm","-137.74mm","top","90.0"
"C54","160.775mm","-123.825mm","top","180.0"
"R68","162.875mm","-120.325mm","top","-90.0"
"U14","147.816373mm","-140.934997mm","top","0.0"
"R40","144.3mm","-91.5mm","top","180.0"
"R42","127.108164mm","-80.193663mm","top","-90.0"
"R45","143.8mm","-77.3mm","top","-90.0"
"C17","153.46mm","-100.1mm","top","180.0"
"U4","140.33mm","-97.350042mm","top","180.0"
"C2","174.842426mm","-120.890001mm","top","0.0"
"Q2","197.570001mm","-103.87mm","top","270.0"
"CYA0650-68UH1","195.170001mm","-109.22mm","top","0.0"
"R86","131.01mm","-135.12mm","top","180.0"
"D10","134.35mm","-139.31mm","top","0.0"
"R70","183.65mm","-92.25mm","top","-90.0"
"P12","187.81mm","-96.98mm","top","-90.0"
"C30","143.02mm","-124.39mm","top","90.0"
"C12","144.45mm","-124.39mm","top","-90.0"
"C36","132.61mm","-73.345mm","top","90.0"
"C7","171.36mm","-116.22mm","top","180.0"
"R91","147.16mm","-117.42mm","top","-90.0"
"R4","174.842426mm","-122.370001mm","top","180.0"
"C4","167.06mm","-119.82mm","top","-90.0"
"C27","192.074999mm","-73.5375mm","top","180.0"
"R39","139.585mm","-91.5mm","top","0.0"
"D4","156.71mm","-97.52mm","top","-90.0"
"R59","160.285mm","-91.42mm","top","0.0"
"C28","175.41mm","-94.15mm","top","90.0"
"R90","198.320001mm","-123.02mm","top","-90.0"
"Q3","192.21mm","-103.82mm","top","90.0"
"R23","197.099999mm","-74.9625mm","top","180.0"
"R83","185.32mm","-77.3mm","top","-90.0"
"D5","198.399999mm","-71.4375mm","top","-90.0"
"D7","177.64mm","-97.55mm","top","-90.0"
"R1","178.16mm","-116.465003mm","top","-90.0"
"SW3","127.617165mm","-135.12mm","top","180.0"
"R19","172.6975mm","-94.15mm","top","90.0"
"C6","158.93mm","-144.32mm","top","90.0"
"R17","150.86mm","-94.42mm","top","90.0"
"R97","160.29mm","-137.71mm","top","90.0"
"R72","162.875mm","-117.425mm","top","-90.0"
"C52","158.06mm","-117.37mm","top","90.0"
"R14","131.5725mm","-94.19mm","top","90.0"
"C21","181.73mm","-122.27mm","top","180.0"
"R87","130.76mm","-146.68mm","top","180.0"
"C35","148.675mm","-123.8mm","top","180.0"
"R41","144.31mm","-92.92mm","top","180.0"
"R22","197.074999mm","-73.5375mm","top","180.0"
"R26","198.999999mm","-74.0375mm","top","90.0"
"R10","198.71mm","-102.07mm","top","-90.0"
"R6","194.36mm","-124.32mm","top","0.0"
"C34","146.375mm","-120.6mm","top","-90.0"
"C23","195.04mm","-126.35mm","top","180.0"
"C65","155.273571mm","-135.62mm","top","90.0"
"P9","187.81mm","-94.44mm","top","-90.0"
"C42","152.01mm","-117.37mm","top","90.0"
"C20","154.3825mm","-94.42mm","top","90.0"
"D11","198.320001mm","-126.02mm","top","-90.0"
"C63","138.06mm","-125.42mm","top","0.0"
"C44","154.725mm","-123.825mm","top","180.0"
"P4","197.69mm","-128.52mm","top","0.0"
"C48","159.79mm","-73.34mm","top","90.0"
"Q16","194.48mm","-121.4875mm","top","270.0"
