Designator,Mid X,Mid Y,Rotation,Layer
C1,-24.667573,-9.009997,90.0,top
C10,-32.736429,-26.21,0.0,top
C11,-67.81,14.32,180.0,top
C12,-56.96,-11.77,270.0,top
C13,-28.522858,-26.3,180.0,top
C14,-67.7275,18.47,90.0,top
C15,-26.486429,-28.91,270.0,top
C16,-26.486429,-32.96,90.0,top
C17,-47.95,12.52,0.0,top
C18,-51.36,-13.0,180.0,top
C19,-47.11,14.32,180.0,top
C2,-26.567574,-8.270001,0.0,top
C20,-47.0275,18.2,90.0,top
C21,-19.68,-9.65,180.0,top
C22,-42.93,-11.1,90.0,top
C23,-6.37,-13.73,180.0,top
C24,-27.11,12.52,0.0,top
C25,-26.31,14.32,180.0,top
C26,-6.510001,43.5125,180.0,top
C27,-9.335001,39.0825,180.0,top
C28,-26.0,18.47,90.0,top
C29,-9.310001,37.6575,0.0,top
C3,-22.81,-8.279999,180.0,top
C30,-58.39,-11.77,90.0,top
C31,-3.564999,19.3,0.0,top
C32,-4.164999,21.0,180.0,top
C33,-55.45,-4.8,90.0,top
C34,-55.035,-7.98,270.0,top
C35,-52.735,-11.18,180.0,top
C36,-68.8,39.275,90.0,top
C37,-65.6,39.275,90.0,top
C38,-59.2,39.275,90.0,top
C39,-62.4,39.275,90.0,top
C4,-34.35,-7.2,270.0,top
C40,-60.21,35.32,90.0,top
C41,-61.51,35.32,90.0,top
C42,-49.4,-4.75,90.0,top
C43,-48.985,-8.005,270.0,top
C44,-46.685,-11.205,180.0,top
C45,-60.54,-11.5,180.0,top
C46,-48.02,39.28,90.0,top
C47,-44.82,39.28,90.0,top
C48,-41.62,39.28,90.0,top
C49,-38.42,39.28,90.0,top
C5,-41.1,-31.72,90.0,top
C50,-39.61,35.32,90.0,top
C51,-40.91,35.32,90.0,top
C52,-43.35,-4.75,90.0,top
C53,-42.935,-8.005,270.0,top
C54,-40.635,-11.205,180.0,top
C55,-27.25,39.26,90.0,top
C56,-24.05,39.26,90.0,top
C57,-20.85,39.26,90.0,top
C58,-17.65,39.26,90.0,top
C59,-18.76,35.32,90.0,top
C6,-42.48,-31.7,90.0,top
C60,-20.06,35.32,90.0,top
C61,-36.75,-12.3,90.0,top
C62,-60.54,-12.8,0.0,top
C63,-63.35,-12.8,0.0,top
C64,-62.9,-22.7,180.0,top
C65,-46.136429,-23.0,90.0,top
C66,-45.2,-29.45,90.0,top
C67,-47.536431,-23.0,90.0,top
C68,-45.236429,-31.5,0.0,top
C69,-62.436429,-33.36,270.0,top
C7,-30.05,-3.6,180.0,top
C70,-45.236429,-34.2,0.0,top
C71,-61.286429,-26.86,90.0,top
C72,-58.936429,-34.06,180.0,top
C73,-61.286429,-30.16,90.0,top
C74,-59.906429,-22.7,180.0,top
C75,-61.136429,-33.36,270.0,top
C8,-8.52,12.79,90.0,top
C9,-68.61,12.52,0.0,top
CYA0650-68UH1,-6.239999,3.4,0.0,top
CYA0650-68UH2,-6.289999,25.5,0.0,top
D1,-8.77,18.5475,270.0,top
D10,-67.06,-26.69,0.0,top
D11,-3.089999,-13.4,270.0,top
D2,-65.3025,15.069958,270.0,top
D3,-9.839999,-12.85,270.0,top
D4,-44.7,15.1,270.0,top
D5,-3.010001,41.1825,270.0,top
D6,-6.410001,40.9825,0.0,top
D7,-23.77,15.07,270.0,top
D8,-5.0,30.5,0.0,top
D9,-67.06,-28.39,0.0,top
J1,-14.06,-14.02,270.0,top
J2,-14.05,-3.78,270.0,top
J3,-57.25,0.625,0.0,top
J4,-6.489999,10.45,90.0,bottom
J5,-67.55,-14.7,180.0,top
J6,-73.457835,-28.239999,270.0,top
L1,-45.236429,-32.85,180.0,top
P1,-6.26,46.1,0.0,top
P10,-75.6,15.64,270.0,top
P11,-37.236429,-28.315,0.0,bottom
P12,-13.6,15.64,270.0,top
P13,-6.26,-15.9,0.0,top
P2,-75.6,13.1,270.0,top
P3,-3.72,46.1,0.0,top
P4,-3.72,-15.9,0.0,top
P5,-13.6,13.1,270.0,top
P6,-8.8,46.1,0.0,top
P7,-75.6,18.18,270.0,top
P8,-8.8,-15.9,0.0,top
P9,-13.6,18.18,270.0,top
Q1,-3.839999,12.35,90.0,top
Q10,-38.15,32.47,180.0,bottom
Q11,-38.15,23.37,0.0,bottom
Q12,-27.35,32.47,180.0,bottom
Q13,-27.35,23.37,0.0,bottom
Q14,-17.3,32.47,180.0,bottom
Q15,-17.3,23.37,0.0,bottom
Q16,-6.93,-8.8675,270.0,top
Q2,-3.839999,8.75,270.0,top
Q3,-9.2,8.8,90.0,top
Q4,-68.92,32.47,180.0,bottom
Q5,-68.8825,23.369958,0.0,bottom
